query_id	entrez_gene_id	gene_symbol_norm
loo_10204782_10	6445	SGCG
loo_10204782_11	6445	SGCG
loo_10205262_6	3081	HGO
loo_10205265_4	6606	SMN1
loo_10206402_0	2592	GALT
loo_10206477_0	6329	SCN4A
loo_10206718_1	1294	COL7A1
loo_10207799_1	3077	HFE
loo_10208490_2	3949	LDLR
loo_10208958_0	5644	PRSS1
loo_10210834_0	7276	TTR
loo_10211478_0	5376	PMP22
loo_10215411_3	3423	IDS
loo_10215766_2	1828	DSG1
loo_10215946_0	7450	VWF
loo_10215946_3	7450	VWF
loo_10215946_5	2157	F8
loo_10215951_0	2158	F9
loo_10219749_0	5376	PMP22
loo_10219749_4	5376	PMP22
loo_10219785_5	4137	MAPT
loo_10220153_0	6247	RS1
loo_10220153_2	6247	RS1
loo_10220153_10	6247	RS1
loo_10220428_11	5727	PTCH1
loo_10220445_0	5277	PIG-A
loo_10220445_4	5277	PIG-A
loo_10221770_0	367	AR
loo_10225357_1	1861	TOR1A
loo_10227459_3	2815	GP9
loo_10228493_2	324	APC
loo_10228635_0	412	STS
loo_10229909_1	4221	MEN1
loo_10232403_0	3848	KRT1
loo_10233323_1	3849	KRT2E
loo_10233777_0	1294	COL7A1
loo_10234502_8	5728	PTEN
loo_10234504_0	4210	MEFV
loo_10234505_0	3852	KRT5
loo_10234505_6	3852	KRT5
loo_10234506_3	6606	SMN1
loo_10234506_5	6606	SMN1
loo_10234520_1	27349	MT
loo_10234611_2	2581	GALC
loo_10235273_0	3077	HFE
loo_10319940_0	7253	TSHR
loo_10319947_0	7253	TSHR
loo_10320522_0	7421	VDR
loo_10321473_0	4137	MAPT
loo_10323248_0	5205	FIC1
loo_10323248_2	5205	FIC1
loo_10323254_1	2542	SLC37A4
loo_10323411_0	367	AR
loo_10323885_6	3845	KRAS
loo_10325262_0	3730	KAL1
loo_10325262_1	3730	KAL1
loo_10326221_0	2153	F5
loo_10326584_2	613	BCR
loo_10327149_0	4337	MOCS1
loo_10330341_0	5256	PHKA2
loo_10330344_2	4914	NTRK1
loo_10330344_4	4914	NTRK1
loo_10330349_5	7249	TSC2
loo_10331590_7	2332	FMR1
loo_10331601_0	2332	FMR1
loo_10332037_1	1760	DMPK
loo_10332037_2	1760	DMPK
loo_10332046_0	2071	ERCC3
loo_10332046_1	2071	ERCC3
loo_10335980_0	3043	HBB
loo_10335980_1	3043	HBB
loo_10337944_1	1822	ATN1
loo_10343205_1	7390	UROS
loo_10347554_2	324	APC
loo_10349506_5	6622	SNCA
loo_10349869_0	1200	CLN2
loo_10352931_0	6261	RYR1
loo_10352931_3	6261	RYR1
loo_10353778_0	1280	COL2A1
loo_10353780_3	6794	LKB1
loo_10353780_7	6794	LKB1
loo_10354117_0	5313	PKLR
loo_10354117_3	5313	PKLR
loo_10354186_3	1294	COL7A1
loo_10354186_8	1294	COL7A1
loo_10355506_1	3077	HFE
loo_10356155_3	2778	GNAS
loo_10356312_0	10020	GNE
loo_10356314_1	5053	PAH
loo_10356314_4	5053	PAH
loo_10360771_1	7274	TTPA
loo_10360777_3	5621	PRNP
loo_10364075_3	335	APOA1
loo_10364520_0	4210	MEFV
loo_10364520_1	4210	MEFV
loo_10364520_4	4210	MEFV
loo_10364523_0	6662	SOX9
loo_10364523_2	6662	SOX9
loo_10365041_2	1294	COL7A1
loo_10365041_4	3909	LAMA3
loo_10367632_2	5979	RET
loo_10367632_6	5979	RET
loo_10369109_1	2332	FMR1
loo_10369160_1	3043	HBB
loo_10369164_2	1641	DCX
loo_10369262_4	4598	MVK
loo_10369266_3	6496	SIX3
loo_10369752_0	5311	PKD2
loo_10369828_0	773	CACNA1A
loo_10369864_0	1493	CTLA4
loo_10373137_0	554	AVPR2
loo_10375397_0	5160	PDHA1
loo_10375397_2	5160	PDHA1
loo_10376150_2	3077	HFE
loo_10378403_1	6439	SFTPB
loo_10381328_2	410	ARSA
loo_10381903_4	5644	PRSS1
loo_10382696_0	1756	DMD
loo_10382905_0	1145	CHRNE
loo_10383647_0	5663	PSEN1
loo_10388642_1	1281	COL3A1
loo_10388642_4	1281	COL3A1
loo_10389102_0	4693	NDP
loo_10390412_0	7124	TNF
loo_10391219_1	10682	EBP
loo_10391459_1	3736	KCNA1
loo_10391459_2	3736	KCNA1
loo_10391560_1	3845	KRAS
loo_10394053_3	730	C7
loo_10395222_0	1312	COMT
loo_10395244_1	4221	MEN1
loo_10398215_1	1376	CPT2
loo_10398215_7	1376	CPT2
loo_10398215_8	1376	CPT2
loo_10398249_6	2332	FMR1
loo_10398605_1	5429	POLH
loo_10399865_7	2395	FXN
loo_10400989_3	1690	COCH
loo_10401001_1	4598	MVK
loo_10402071_7	355	FAS
loo_10402494_0	7124	TNF
loo_10402494_2	7124	TNF
loo_10402494_3	7124	TNF
loo_10403171_3	7038	TG
loo_10404063_0	4436	HMSH2
loo_10404063_10	4436	HMSH2
loo_10404827_0	8820	HESX1
loo_10406661_1	1280	COL2A1
loo_10408777_1	6794	STK11
loo_10411676_4	5311	PKD2
loo_10413692_1	24	ABCR
loo_10414451_2	2153	F5
loo_10417286_0	3664	IRF6
loo_10417624_4	2235	FECH
loo_10417624_5	2235	FECH
loo_10421657_2	54658	UGT1A1
loo_10421657_4	54658	UGT1A1
loo_10424783_0	672	BRCA1
loo_10425186_0	1756	DMD
loo_10426385_3	2645	GCK
loo_10426386_2	6833	ABCC8
loo_10428326_1	675	BRCA2
loo_10428326_2	672	BRCA1
loo_10428326_3	672	BRCA1
loo_10429362_3	182	JAG1
loo_10429362_7	182	JAG1
loo_10429500_1	7045	TGFBI
loo_10431237_0	19	ABCA1
loo_10431237_5	19	ABCA1
loo_10431238_6	19	ABCA1
loo_10431241_3	10913	DL
loo_10431241_4	10913	DL
loo_10431244_2	2176	FANCC
loo_10435060_1	1589	CYP21
loo_10441006_9	4089	SMAD4
loo_10441325_5	488	ATP2A2
loo_10441340_3	5048	LIS1
loo_10441575_0	2131	EXT1
loo_10441617_0	7299	TYR
loo_10441661_6	652	BMP4
loo_10443693_6	1589	CYP21A2
loo_10443890_0	4137	MAPT
loo_10443890_6	4137	MAPT
loo_10444342_0	4552	MTRR
loo_10447021_3	2778	GNAS
loo_10447259_0	7454	WASP
loo_10447259_11	7454	WASP
loo_10447259_14	7454	WASP
loo_10447608_0	2263	FGFR2
loo_10448055_0	5663	PSEN1
loo_10448055_1	5663	PSEN1
loo_10449548_7	215	ABCD1
loo_10449548_18	215	ABCD1
loo_10449599_2	675	BRCA2
loo_10449599_4	675	BRCA2
loo_10449925_0	4534	MTM1
loo_10449925_5	4534	MTM1
loo_10450864_2	6247	RS1
loo_10450864_4	6247	RS1
loo_10451522_0	249	ALPL
loo_10451710_0	4763	NF1
loo_10451936_1	1287	COL4A5
loo_10452529_3	1180	CLCN1
loo_10453731_2	7439	BEST1
loo_10454773_1	1184	CLCN5
loo_10455213_0	7157	TP53
loo_10458172_2	24	ABCR
loo_10458173_2	6247	XLRS1
loo_10459349_1	4763	NF1
loo_10459349_5	4763	NF1
loo_10459349_6	4763	NF1
loo_10459357_0	25	BCR-ABL
loo_10460515_7	7490	WT1
loo_10464635_4	1756	DMD
loo_10464635_8	1756	DMD
loo_10464635_10	1756	DMD
loo_10464674_0	4524	MTHFR
loo_10466666_1	367	AR
loo_10467270_2	3043	HBB
loo_10468915_0	846	CASR
loo_10468972_11	4221	MEN1
loo_10468972_13	4221	MEN1
loo_10468972_15	4221	MEN1
loo_10469281_1	1184	CLCN5
loo_10469281_2	1184	CLCN5
loo_10469281_4	1184	CLCN5
loo_10469312_0	1643	DDB2
loo_10471376_1	1589	CYP21
loo_10471457_3	3077	HFE
loo_10473880_3	3043	HBB
loo_10473983_0	2395	FXN
loo_10477431_2	554	AVPR2
loo_10477431_4	554	AVPR2
loo_10479485_0	353	APRT
loo_10479485_1	2588	GALNS
loo_10480213_1	1641	DCX
loo_10480349_8	4864	NPC1
loo_10480349_9	4864	NPC1
loo_10480375_0	1540	CYLD1
loo_10482958_0	6103	RPGR
loo_10482958_3	6103	RPGR
loo_10482964_0	6927	HNF1A
loo_10484767_5	5979	RET
loo_10484769_0	4552	MTRR
loo_10484776_3	9380	GRHPR
loo_10484779_0	4018	LPA
loo_10484783_0	6101	RP1
loo_10484807_3	5053	PAH
loo_10486318_0	7157	TP53
loo_10487664_1	5745	PTH1R
loo_10487673_0	6833	ABCC8
loo_10487673_3	6833	ABCC8
loo_10487673_4	6833	ABCC8
loo_10487673_8	2746	GLUD1
loo_10487694_0	2691	GHRH
loo_10487695_0	6528	SLC5A5
loo_10487710_0	551	AVP
loo_10487710_2	551	AVP
loo_10487913_0	2705	GJB1
loo_10489052_2	5376	PMP22
loo_10489052_4	5376	PMP22
loo_10489930_11	3117	HLA-DQA1
loo_10490708_1	7503	XIST
loo_10491537_0	7172	TPMT
loo_10491608_0	2652	OPN1MW
loo_10491608_5	2652	OPN1MW
loo_10491608_6	2652	OPN1MW
loo_10494086_0	324	APC
loo_10494088_0	4763	NF1
loo_10494094_3	3852	KRT5
loo_10495141_3	249	ALPL
loo_10496074_8	1589	CYP21
loo_10496356_3	7157	TP53
loo_10497626_2	7421	VDR
loo_10499067_1	1690	COCH
loo_10501520_0	2706	GJB2
loo_10501520_1	2706	GJB2
loo_10501988_7	2153	F5
loo_10504459_0	55806	HR
loo_10504459_1	55806	HR
loo_10505028_0	675	BRCA2
loo_10506086_1	5621	PRNP
loo_10508514_4	4204	MECP2
loo_10508515_3	889	CCM1
loo_10508515_10	889	CCM1
loo_10508519_8	58	ACTA1
loo_10514099_3	4137	MAPT
loo_10514099_6	4137	MAPT
loo_10515453_0	2176	FANCC
loo_10515860_7	355	FAS
loo_10515860_8	355	FAS
loo_10517250_4	6794	STK11
loo_10518030_0	2542	SLC37A4
loo_10518030_5	2542	SLC37A4
loo_10519592_1	6821	SUOX
loo_10519881_0	5621	PRNP
loo_10520044_0	3077	HFE
loo_10521250_2	6010	RHO
loo_1052176_1	3043	HBB
loo_1052177_0	3039	HBA1
loo_1052178_6	3048	HBG2
loo_10521849_0	1277	COL1A1
loo_10522996_1	190	NR0B1
loo_10523018_1	5468	PPARG
loo_10524229_2	5373	PMM2
loo_10525521_5	7139	TNNT2
loo_10525521_6	7139	TNNT2
loo_10525984_1	6311	ATXN2
loo_10526221_3	2187	FANCB
loo_10527966_2	2153	F5
loo_10527966_4	2147	F2
loo_10533065_6	182	JAG1
loo_10533065_12	182	JAG1
loo_10534167_0	367	AR
loo_10536001_1	3291	HSD11B2
loo_10536990_0	3857	KRT9
loo_10540007_3	6647	SOD1
loo_10540191_5	5199	CFP
loo_10543403_2	2395	FXN
loo_10543403_3	2395	FXN
loo_10545039_0	6606	SMN1
loo_10545039_1	6606	SMN1
loo_10545532_7	540	ATP7B
loo_10545532_15	540	ATP7B
loo_10545612_3	860	RUNX2
loo_10545612_9	860	RUNX2
loo_10545612_13	860	RUNX2
loo_10545612_17	860	RUNX2
loo_10545614_0	889	KRIT1
loo_10545614_2	889	KRIT1
loo_10545950_3	10216	CACP
loo_10549303_13	2688	GH1
loo_10550306_0	5979	RET
loo_10552210_1	5339	PLEC
loo_10552289_0	4763	NF1
loo_10553995_0	4359	MPZ
loo_10554001_0	4359	MPZ
loo_10556288_9	4068	SH2D1A
loo_10556301_1	6606	SMN1
loo_10556301_4	6606	SMN1
loo_10556301_5	6606	SMN1
loo_10556301_6	6606	SMN1
loo_10558868_3	6834	SURF1
loo_10560675_1	6890	TAP1
loo_10562460_2	3988	LIPA
loo_10564585_0	5727	PTCH
loo_10566658_1	1594	CYP27B1
loo_10566677_3	1584	CYP11B1
loo_10567760_0	183	AGT
loo_10570379_5	5339	PLEC1
loo_10570379_9	5339	PLEC1
loo_1057238_0	5313	PKLR
loo_1057238_1	5313	PKLR
loo_10573018_11	672	BRCA1
loo_10573018_13	675	BRCA2
loo_10573018_16	675	BRCA2
loo_10575540_0	3077	HFE
loo_10575550_1	3077	HFE
loo_10576763_8	4221	MEN1
loo_10576763_14	4221	MEN1
loo_10577905_1	4204	MECP2
loo_10577905_3	4204	MECP2
loo_10577906_0	1308	COL17A1
loo_10579310_3	3667	IRS1
loo_10580024_0	7172	TPMT
loo_10581036_8	26503	SLC17A5
loo_10581255_0	10195	ALG3
loo_10581375_0	4359	MPZ
loo_10583255_0	2815	GPIX
loo_10584191_0	6736	SRY
loo_10584191_2	6736	SRY
loo_10585582_2	4436	HMSH2
loo_10587520_12	1482	NKX2.5
loo_10587573_5	5076	PAX2
loo_10588719_1	1789	DNMT3B
loo_10588719_2	1789	DNMT3B
loo_10588840_0	5091	PC
loo_10590411_1	6566	SLC16A1
loo_1059061_1	8481	OFD1
loo_10593994_2	1075	CTSC
loo_10593996_0	4763	NF1
loo_10596881_3	2706	GJB2
loo_10597966_0	6736	SRY
loo_10598193_8	4221	MEN1
loo_10598809_6	4292	MLH1
loo_10598813_1	4688	NCF2
loo_10598813_5	4688	NCF2
loo_10598818_1	6223	RPS19
loo_10598819_0	4068	SH2D1A
loo_10598819_6	4068	SH2D1A
loo_10599696_9	3284	HSD3B2
loo_10599728_4	6473	SHOX
loo_10599728_9	6473	SHOX
loo_10599728_11	6473	SHOX
loo_10599728_12	6473	SHOX
loo_10601105_1	2153	F5
loo_10601282_3	6448	SGSH
loo_10601803_2	773	CACNL1A4
loo_10601803_10	773	CACNL1A4
loo_10601803_12	773	CACNL1A4
loo_10601964_4	6927	HNF1A
loo_10602161_2	3043	HBB
loo_10602370_0	546	ATRX
loo_10602497_0	7508	XPC
loo_10602497_1	7508	XPC
loo_10606882_0	2157	F8
loo_10607480_6	415	ARSE
loo_10607835_0	2261	FGFR3
loo_10607838_11	2395	FXN
loo_10610178_2	6683	SPAST
loo_1061096_0	5498	PPOX
loo_1061096_3	5498	PPOX
loo_1061119_3	100	ADA
loo_10611950_5	7276	TTR
loo_10612508_0	24	ABCR
loo_10612508_2	24	ABCR
loo_10615133_0	23746	AIPL1
loo_10615958_2	6833	ABCC8
loo_10617918_0	4653	MYOC
loo_10617923_12	7439	BEST1
loo_10619717_0	1180	CLCN1
loo_10620184_4	6519	SLC3A1
loo_10622534_2	5979	RET
loo_10631133_2	3040	HBA2
loo_10631133_5	3040	HBA2
loo_10631140_7	4763	NF1
loo_10633134_0	4763	NF1
loo_10633135_0	2706	GJB2
loo_10634179_3	1441	CSF3R
loo_10634411_0	866	SERPINA6
loo_10634412_0	6906	SERPINA7
loo_10636421_5	6247	XLRS1
loo_10636450_0	249	TNSALP
loo_10639608_2	2705	GJB1
loo_10639608_3	2705	GJB1
loo_10640143_0	613	BCR
loo_10640978_1	7157	TP53
loo_10643924_1	1137	CHRNA4
loo_10643924_2	1137	CHRNA4
loo_10645809_0	7157	TP53
loo_10646121_2	2778	GNAS1
loo_10647719_9	3000	GUCY2D
loo_10647895_6	7337	UBE3A
loo_10647898_3	7227	TRPS1
loo_10651122_1	3043	HBB
loo_10651742_1	2147	F2
loo_10651751_3	2778	GNAS
loo_10651755_2	3284	HSD3B2
loo_10651846_7	7253	TSHR
loo_10653342_0	3030	HADHA
loo_10654325_0	6299	SALL1
loo_10655056_3	10002	NR2E3
loo_10655060_4	4000	LMNA
loo_10655063_4	7102	TM4SF2
loo_10655323_1	2147	F2
loo_10655510_0	1299	COL9A3
loo_10657297_4	6392	SDHD
loo_10657827_0	4693	ND
loo_10658454_0	5627	PROS1
loo_10658742_6	5626	PROP1
loo_10660486_10	3077	HFE
loo_10662808_1	1075	CTSC
loo_10664233_0	1589	CYP21B
loo_10665647_1	2956	MSH6
loo_10668081_1	3043	HBB
loo_10668721_5	6311	ATXN2
loo_10670750_0	3730	KAL1
loo_10673305_0	3077	HFE
loo_10673730_1	118	ADD1
loo_10674710_4	4143	MAT1A
loo_10675660_0	7276	TTR
loo_10675660_1	7276	TTR
loo_10677098_8	1896	EDA1
loo_10677299_9	1717	DHCR7
loo_10679286_0	5979	RET
loo_10679942_6	5313	PKLR
loo_10679942_8	5313	PKLR
loo_10680334_0	4436	MSH2
loo_10681434_1	324	APC
loo_10682662_8	672	BRCA1
loo_10684360_2	1287	COL4A5
loo_10686936_0	672	BRCA1
loo_10686936_3	672	BRCA1
loo_10688370_2	3848	KRT1
loo_10691052_3	7276	TTR
loo_10691052_7	7276	TTR
loo_10694185_1	183	AGT
loo_10696248_5	1956	EGFR
loo_10699423_0	7486	WRN
loo_10700182_5	4920	ROR2
loo_10700184_6	2121	EVC
loo_10700722_0	6770	STAR
loo_10701848_0	158	ADSL
loo_10701897_0	5621	PRNP
loo_10704428_1	443	ASPA
loo_10704433_0	3973	LHCGR
loo_10704433_6	3973	LHCGR
loo_10706763_4	7450	VWF
loo_10706767_0	3043	HBB
loo_10709098_1	4292	HMLH1
loo_10711573_0	367	AR
loo_10711573_4	367	AR
loo_10714363_6	3973	LHCGR
loo_10715991_1	4221	MEN1
loo_10720040_2	1589	CYP21
loo_10720287_2	4771	NF2
loo_10720297_2	5230	PGK1
loo_10720444_0	4018	LPA
loo_10720932_2	6833	ABCC8
loo_10721679_1	2200	FBN1
loo_10724357_3	4221	MEN1
loo_10724359_0	7068	THRB
loo_10725724_0	8625	RFXANK
loo_10726026_0	5340	PLG
loo_10726047_4	2153	F5
loo_10727485_4	4099	MAG
loo_10728204_2	1200	CLN2
loo_10728204_4	80331	CLN4
loo_10728423_6	3784	KCNQ1
loo_10729115_6	8419	BFSP2
loo_10729115_10	8419	BFSP2
loo_10729390_1	3990	LIPC
loo_10731450_1	7137	TNNI3
loo_10731450_2	7137	TNNI3
loo_10732817_0	6606	SMN1
loo_10732817_2	6606	SMN1
loo_10735843_1	189	AGXT
loo_10737121_1	1180	CLCN1
loo_10737124_0	2548	GAA
loo_10737126_7	54982	CLN6
loo_10738214_2	7157	TP53
loo_10738520_3	338	APOB
loo_10739686_5	4436	MSH2
loo_10739751_0	4000	LMNA
loo_10739751_3	4000	LMNA
loo_10739751_6	4000	LMNA
loo_10739762_1	1277	COL1A1
loo_10748416_0	2332	FMR1
loo_10752758_2	5314	PKHD1
loo_10753050_4	2645	GCK
loo_10753994_5	2147	F2
loo_10755399_5	675	BRCA2
loo_10756346_2	2200	FBN1
loo_10756965_3	6261	RYR1
loo_10757649_5	6261	RYR1
loo_10759707_0	1535	CYBA
loo_10759707_2	1535	CYBA
loo_10765051_2	1636	ACE
loo_10766188_6	7508	XPC
loo_10766906_7	3064	HTT
loo_10766906_9	3064	HTT
loo_10767182_1	3251	HPRT1
loo_10767489_1	1080	CFTR
loo_10770217_1	846	CASR
loo_10770217_3	846	CASR
loo_10772697_5	7157	TP53
loo_10772871_7	3077	HFE
loo_10775529_4	7399	USH2A
loo_10775535_1	5663	PSEN1
loo_10780518_2	6794	STK11
loo_10782214_0	5145	PDE6A
loo_10782927_6	324	APC
loo_10785486_0	675	BRCA2
loo_10787449_0	4210	MEFV
loo_10789082_1	3872	KRT17
loo_10792295_2	3077	HFE
loo_10792297_1	2153	F5
loo_10792406_0	695	BTK
loo_10792479_1	2158	F9
loo_10796876_0	1289	COL5A1
loo_10796876_7	1289	COL5A1
loo_10796876_9	1289	COL5A1
loo_10796893_10	3077	HFE
loo_10797409_0	2705	GJB1
loo_10798361_0	6519	SLC3A1
loo_10798362_2	2707	GJB3
loo_10802645_1	7036	TFR2
loo_10802757_0	1137	CHRNA4
loo_10802757_1	1137	CHRNA4
loo_10802757_10	1137	CHRNA4
loo_10807691_1	5728	PTEN
loo_10807780_2	7450	VWF
loo_10812164_1	25	BCR-ABL
loo_10812170_5	5728	PTEN
loo_10813107_0	2778	GNAS
loo_10813109_1	7421	VDR
loo_10814714_1	2719	GPC3
loo_10815141_3	4287	ATXN3
loo_10817040_7	4854	NOTCH3
loo_10817652_4	2218	FKTN
loo_10818218_1	2332	FMR1
loo_10818508_0	7018	TF
loo_10820168_2	554	AVPR2
loo_10820403_1	3861	KRT14
loo_10820403_2	3861	KRT14
loo_1082120_0	5265	SERPINA1
loo_1082163_1	5265	SERPINA1
loo_10821874_4	2099	ESR1
loo_10825362_3	1137	CHRNA4
loo_10825362_4	1137	CHRNA4
loo_10829909_0	3073	HEXA
loo_1083071_0	7450	VWF
loo_10830906_0	2706	GJB2
loo_10830906_15	2706	GJB2
loo_1083143_2	7450	VWF
loo_10833320_1	348	APOE
loo_10833374_3	2162	F13A1
loo_10834537_1	7276	TTR
loo_10835442_0	348	APOE
loo_10835624_4	11005	SPINK5
loo_10835624_5	11005	SPINK5
loo_10835624_10	11005	SPINK5
loo_10835625_2	5310	PKD1
loo_10835631_9	5873	RAB27A
loo_10835640_3	6690	SPINK1
loo_10835642_0	368	ABCC6
loo_10836608_0	1294	COL7A1
loo_10837090_1	2153	F5
loo_10838451_1	3043	HBB
loo_10841809_0	4747	NEFL
loo_10842287_6	6910	TBX5
loo_10843163_0	1277	COL1A1
loo_10843194_7	846	CASR
loo_10843288_0	5979	RET
loo_10844062_3	7045	TGFBI
loo_10844531_1	695	BTK
loo_10844531_10	695	BTK
loo_10844591_1	7498	XDH
loo_10845569_5	7276	TTR
loo_10845658_1	3077	HFE
loo_10847418_1	5627	PROS1
loo_10847426_0	2153	F5
loo_10849589_3	5468	PPARG
loo_10851071_2	7508	XPC
loo_10851071_5	1161	ERCC8
loo_10852459_1	367	AR
loo_10852462_3	7253	TSHR
loo_10854112_0	7439	VMD2
loo_10854112_5	7439	VMD2
loo_10854112_9	7439	VMD2
loo_10854945_0	672	BRCA1
loo_10861263_3	4292	MLH1
loo_10861297_0	2581	GALC
loo_10861313_3	1029	CDKN2A
loo_10861313_6	1029	CDKN2A
loo_10861313_12	1029	CDKN2A
loo_10861313_17	1019	CDK4
loo_10861474_4	4292	HMLH1
loo_10861474_5	4292	HMLH1
loo_10861474_7	4292	HMLH1
loo_10861808_10	3043	HBB
loo_10862051_9	4763	NF1
loo_10864604_5	3064	HTT
loo_10864604_13	3064	HTT
loo_10865093_2	4137	MAPT
loo_10865320_2	7045	TGFBI
loo_10865320_6	7045	TGFBI
loo_10869432_4	5009	OTC
loo_10869432_10	5009	OTC
loo_10870880_0	3043	HBB
loo_10871866_6	5979	RET
loo_10872167_1	4854	NOTCH3
loo_10873396_2	23746	AIPL1
loo_10873585_0	217	ALDH2
loo_10874205_1	24	ABCA4
loo_10874303_0	10560	SLC19A2
loo_10875853_3	1080	CFTR
loo_10875874_0	1080	CFTR
loo_10875876_10	1080	CFTR
loo_10878667_0	4763	NF1
loo_10878669_0	1678	DDP
loo_10881262_4	2395	FXN
loo_10882754_9	3949	LDLR
loo_10882857_9	672	BRCA1
loo_10882857_12	672	BRCA1
loo_10884185_0	7252	TSHB
loo_10885494_1	846	CASR
loo_10886124_4	1557	CYP2C19
loo_10886198_2	2157	F8
loo_10886198_4	2157	F8
loo_10886198_9	2157	F8
loo_10887115_0	2812	GP1BB
loo_10888077_0	217	ALDH2
loo_10888364_13	27349	MT
loo_10888364_14	27349	MT
loo_10888364_15	27349	MT
loo_10888364_17	27349	MT
loo_10888875_1	54714	CNGB3
loo_10889003_0	1301	COL11A1
loo_10889337_1	5621	PRNP
loo_10890142_5	9132	KCNQ4
loo_10890143_2	2706	GJB2
loo_10890144_4	1690	COCH
loo_108902_1	3043	HBB
loo_10890204_0	2261	FGFR3
loo_10891594_6	2705	GJB1
loo_10894587_3	3119	HLA-DQB1
loo_10894587_8	3119	HLA-DQB1
loo_10894919_0	2147	F2
loo_10894992_0	773	CACNA1A
loo_10894992_8	6310	ATXN1
loo_10894992_9	6311	ATXN2
loo_10896919_3	999	CDH1
loo_10899649_1	675	BRCA2
loo_10900182_0	4625	MYH7
loo_10900182_2	4625	MYH7
loo_10903341_3	4160	MC4R
loo_10903931_3	659	BMPR2
loo_10905500_0	4760	NEUROD1
loo_10905666_1	6473	SHOX
loo_10905666_2	6473	SHOX
loo_10905666_4	6473	SHOX
loo_1090842_2	1589	CYP21A2
loo_1090842_7	1589	CYP21A2
loo_10909845_6	1080	CFTR
loo_10909850_4	1760	DMPK
loo_10909851_4	5199	CFP
loo_10909851_6	5199	CFP
loo_10909851_8	5199	CFP
loo_10911375_4	2266	FGG
loo_10912933_1	7157	TP53
loo_10913671_4	4609	C-MYC
loo_10914676_0	1536	CYBB
loo_10914676_8	1535	CYBA
loo_10914960_4	2261	FGFR3
loo_10918252_0	270	AMPD1
loo_10918252_4	270	AMPD1
loo_10918262_5	5376	PMP22
loo_10920277_1	5728	PTEN
loo_10920277_3	5728	PTEN
